nazev	obalky,N,9,0	platne_hla,N,19,11	platne_hlasy	KSCM,N,9,0	CSSD,N,9,0	Koal_TOP09,N,9,0	KDU_CSL,N,9,0	Pirati,N,9,0	ANO_2011,N,9,0	ODS,N,9,0	SZ,N,9,0	Svobodni,N,9,0	Usvit,N,9,0	Ostatni	M,N,9,0	VIZE,N,9,0	CSR,N,9,0	Koal__SP_a,N,9,0	RDS,N,9,0	KSC,N,9,0	PB,N,9,0	ABS,N,9,0	Koal_DSSS_,N,9,0	KAN,N,9,0	HSS,N,9,0	Republika,N,9,0	CS,N,9,0	KC,N,9,0	ANEO,N,9,0	CSNS,N,9,0	O_K_strana,N,9,0	VV,N,9,0	OBC_2011,N,9,0	ND,N,9,0	SRP,N,9,0	Rozumni,N,9,0	HNPD,N,9,0	LES,N,9,0	RSCMS,N,9,0	evropani,N,9,0	SNK_ED,N,9,0	LEV_21,N,9,0	ucast_prc,N,19,11	mimo_byty_,N,19,11	verici_prc,N,19,11	vek_prumer,N,19,11	vek_prum_1,N,19,11	vdani_prc,N,19,11	vzdelani_z,N,19,11	vzdelani_s,N,19,11	vzdelani_m,N,19,11	vzdelani_v,N,19,11	prace_stud,N,19,11	nezamestna,N,19,11	studenti_p,N,19,11	mira_nez_1,N,19,11	zamestna_1,N,19,11	podnikatel,N,19,11	osvc_prc,N,19,11
Sedlec	79	100,00000000000	79	23	7	8	3	4	6	5	3	4	4	12	5	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	11,25000000000	0,71700000000	11,94700000000	41,38800000000	40,12400000000	45,28100000000	0,95600000000	33,09400000000	18,63800000000	3,10600000000	0,71700000000	1,67300000000	13,02300000000	7,64600000000	84,38538205980	1,66112956811	13,95348837210
Starovice	105	100,00000000000	105	12	14	6	14	6	37	5	3	4	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14,91000000000	2,15800000000	22,90200000000	39,39100000000	38,01300000000	48,68100000000	0,48000000000	38,48900000000	17,38600000000	3,71700000000	0,36000000000	0,71900000000	13,54900000000	5,03600000000	85,95041322310	2,47933884298	11,57024793390
Starovičky	94	98,94000000000	93	18	14	9	5	1	12	9	2	10	3	10	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	14,03000000000	0,12000000000	20,81800000000	38,62700000000	37,36300000000	43,32100000000	0,24100000000	36,10100000000	18,41200000000	3,24900000000	0,60200000000	0,60200000000	12,99600000000	5,65600000000	83,37950138500	2,21606648199	14,40443213300
Strachotín	93	98,92000000000	92	19	20	3	5	11	9	0	1	1	7	16	7	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	14,07000000000	0,24800000000	12,12900000000	40,72800000000	40,99700000000	46,53500000000	0,86600000000	38,86100000000	17,07900000000	4,57900000000	0,49500000000	1,23800000000	16,21300000000	5,56900000000	83,87096774190	1,29032258065	14,83870967740
Šakvice	150	100,00000000000	150	15	21	20	24	5	25	13	3	4	5	15	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	4	1	13,25000000000	0,29000000000	28,33300000000	41,56600000000	39,32100000000	41,88400000000	0,72500000000	36,52200000000	18,69600000000	5,21700000000	0,43500000000	1,01400000000	12,75400000000	5,36200000000	86,35578583770	2,24525043178	11,39896373060
Šitbořice	353	99,43000000000	351	24	38	31	171	9	27	7	4	13	8	19	5	2	0	0	0	1	0	0	0	0	0	1	2	3	0	0	0	1	1	0	0	2	0	1	0	0	0	0	22,08000000000	0,05200000000	51,82700000000	40,57800000000	39,19300000000	47,91200000000	0,99200000000	36,27300000000	17,95400000000	4,43600000000	0,47000000000	0,47000000000	15,34400000000	3,91400000000	89,09090909090	1,45454545455	9,45454545455
Tvrdonice	257	100,00000000000	257	65	27	17	38	2	37	23	3	14	16	15	6	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	14,99000000000	0,04900000000	22,04900000000	41,35500000000	40,20000000000	46,29300000000	0,34100000000	31,51200000000	23,12200000000	6,09800000000	0,63400000000	0,73200000000	13,65900000000	5,61000000000	84,88372093020	3,95348837209	11,16279069770
Týnec	170	99,41000000000	169	63	19	21	24	2	15	7	1	6	0	11	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	3	1	0	0	0	0	0	19,38000000000	0,50000000000	26,27400000000	40,86600000000	38,61800000000	45,35500000000	0,20000000000	29,97000000000	21,17900000000	6,89300000000	0,40000000000	1,89800000000	15,78400000000	7,09300000000	86,41304347830	4,89130434783	8,69565217391
Uherčice	196	99,49000000000	195	21	13	16	82	7	23	4	4	11	0	14	7	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	23,61000000000	1,26300000000	39,74700000000	40,07400000000	38,23100000000	48,00800000000	0,29200000000	39,35900000000	18,75600000000	3,59600000000	0,48600000000	0,68000000000	13,50800000000	3,98400000000	78,64693446090	2,53699788584	18,81606765330
Valtice	456	99,78000000000	455	36	104	44	39	15	94	27	12	20	7	57	11	0	0	1	0	1	5	0	1	0	0	2	1	0	0	0	2	1	0	8	1	6	0	0	1	0	16	0	15,38000000000	0,76700000000	13,74600000000	42,94200000000	41,05900000000	42,19600000000	0,41100000000	27,38200000000	23,05600000000	8,81700000000	0,57500000000	1,20500000000	13,80100000000	6,32500000000	82,72980501390	5,84958217270	11,42061281340
Velké Bílovice	400	100,00000000000	400	27	17	45	143	9	62	24	11	24	10	28	3	0	0	0	0	0	1	0	1	0	0	0	3	1	0	0	4	6	0	0	0	4	0	3	1	1	0	0	13,02000000000	0,31200000000	39,04500000000	40,44100000000	39,12100000000	48,91000000000	0,13000000000	32,63200000000	19,05500000000	6,64600000000	0,51900000000	0,85700000000	15,78400000000	5,42600000000	76,48902821320	4,45141065831	19,05956112850
Velké Hostěrádky	51	100,00000000000	51	6	9	12	9	0	3	2	0	3	2	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	12,94000000000	0,00000000000	22,80700000000	39,30700000000	37,63700000000	45,39500000000	0,21900000000	32,45600000000	23,24600000000	4,16700000000	0,87700000000	1,31600000000	12,28100000000	4,16700000000	80,78817733990	3,44827586207	15,76354679800
Velké Němčice	325	100,00000000000	325	27	13	43	103	21	48	14	5	18	7	26	4	0	0	1	0	1	4	0	1	0	0	0	0	0	0	0	1	5	1	0	0	2	0	1	0	0	0	5	22,92000000000	0,05700000000	35,21700000000	39,39300000000	38,11500000000	48,23100000000	0,11400000000	31,16400000000	23,74400000000	6,16400000000	0,22800000000	0,28500000000	18,15100000000	2,74000000000	79,97329773030	3,33778371162	16,68891855810
Velké Pavlovice	464	100,00000000000	464	67	64	37	80	15	75	37	11	20	24	34	6	0	1	1	0	0	2	0	0	0	2	0	0	0	0	0	2	4	0	1	0	11	0	3	0	0	1	0	18,22000000000	0,52600000000	24,96700000000	41,72000000000	39,93100000000	45,82800000000	0,29600000000	30,19100000000	23,91600000000	9,16600000000	0,78800000000	0,65700000000	13,92900000000	4,69800000000	80,78778135050	4,18006430868	15,03215434080
Vlasatice	93	100,00000000000	93	22	5	16	14	2	8	9	0	1	4	12	3	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	13,42000000000	0,12700000000	18,59900000000	40,11600000000	38,89600000000	43,18500000000	0,76400000000	36,43300000000	13,37600000000	3,56700000000	0,63700000000	1,27400000000	12,73900000000	4,96800000000	85,37414965990	2,04081632653	12,58503401360
Vranovice	253	99,21000000000	251	23	21	28	39	19	51	20	11	14	4	21	4	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	9	0	1	0	0	0	0	14,47000000000	0,48900000000	19,83400000000	40,00000000000	38,35800000000	43,77100000000	0,24400000000	33,56100000000	23,00900000000	7,32800000000	0,92800000000	0,78200000000	13,33700000000	4,20100000000	85,50561797750	2,13483146067	12,35955056180
Vrbice	132	99,24000000000	131	4	16	12	31	5	23	7	3	13	4	13	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	5	0	1	0	2	0	0	0	0	14,77000000000	0,08900000000	35,92500000000	40,23100000000	38,28300000000	52,10000000000	0,44700000000	38,33800000000	17,60500000000	4,11100000000	0,44700000000	0,98300000000	14,29800000000	5,45100000000	83,48214285710	1,78571428571	14,73214285710
Zaječí	104	100,00000000000	104	22	20	9	7	3	14	9	2	3	7	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	2	0	8,97000000000	0,14500000000	7,41800000000	39,10300000000	37,65000000000	45,96400000000	0,65500000000	37,67300000000	14,61800000000	4,00000000000	0,29100000000	1,09100000000	15,20000000000	6,76400000000	83,23809523810	4,00000000000	12,76190476190
Zlín	12695	99,39000000000	12612	934	1824	1714	1644	557	2733	801	331	741	488	845	66	19	4	21	2	42	61	3	26	19	7	40	32	14	4	1	19	39	7	65	2	184	1	44	5	0	59	59	20,36000000000	0,47400000000	18,87600000000	42,59800000000	40,68800000000	43,28600000000	0,20800000000	25,14500000000	25,70800000000	15,18200000000	0,77300000000	0,66300000000	13,39500000000	4,15000000000	80,08195969300	5,48028991712	14,43775038990
Biskupice	80	100,00000000000	80	8	14	5	16	2	13	4	0	6	5	7	2	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14,01000000000	0,29800000000	33,03600000000	40,45500000000	38,63900000000	49,10700000000	1,19000000000	37,94600000000	19,04800000000	4,46400000000	0,14900000000	0,89300000000	14,73200000000	4,61300000000	81,37254901960	2,61437908497	16,01307189540
Bohuslavice u Zlína	90	98,89000000000	89	10	8	16	21	0	11	4	0	7	4	8	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	13,64000000000	0,25800000000	28,86600000000	41,55000000000	40,13500000000	44,71600000000	0,64400000000	37,50000000000	19,58800000000	7,21600000000	0,38700000000	0,51500000000	14,82000000000	5,02600000000	81,79190751450	5,49132947977	12,71676300580
Bratřejov	135	100,00000000000	134	15	11	13	56	6	14	4	0	5	2	8	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	21,00000000000	0,92100000000	32,23700000000	40,89100000000	38,44500000000	44,07900000000	0,26300000000	32,36800000000	20,52600000000	5,78900000000	1,05300000000	1,18400000000	15,39500000000	4,60500000000	83,38368580060	1,20845921450	15,40785498490
Brumov-Bylnice	560	99,64000000000	558	44	90	27	235	16	57	21	11	11	16	30	1	2	0	2	0	3	3	0	2	1	0	0	0	0	0	0	0	0	0	1	0	8	0	2	1	0	1	3	11,98000000000	0,32100000000	44,75200000000	40,26900000000	38,79400000000	45,59100000000	0,39300000000	34,16600000000	20,63500000000	6,83700000000	0,66000000000	1,05300000000	16,58300000000	7,30100000000	80,47945205480	2,73972602740	16,78082191780
Březová	86	100,00000000000	86	9	4	12	33	4	17	2	1	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	22,16000000000	0,98800000000	36,75900000000	40,46400000000	38,14900000000	50,59300000000	0,59300000000	31,81800000000	21,14600000000	6,12600000000	1,58100000000	0,39500000000	13,24100000000	3,75500000000	78,13953488370	4,18604651163	17,67441860470
Březůvky	86	97,65000000000	83	6	9	8	24	3	12	0	4	6	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14,98000000000	0,76300000000	31,45000000000	41,10200000000	40,38200000000	46,26000000000	0,76300000000	32,36600000000	18,77900000000	6,71800000000	0,76300000000	0,61100000000	16,48900000000	6,56500000000	78,05755395680	6,11510791367	15,82733812950
Dešná	39	100,00000000000	39	1	6	8	6	1	8	0	0	6	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23,49000000000	0,00000000000	37,98100000000	38,08000000000	36,68900000000	46,15400000000	0,00000000000	33,17300000000	17,78800000000	5,28800000000	1,44200000000	0,00000000000	17,30800000000	4,80800000000	77,41935483870	9,67741935484	12,90322580650
Dobrkovice	31	100,00000000000	31	0	2	1	16	0	6	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	13,14000000000	0,39500000000	49,01200000000	43,27100000000	41,29800000000	43,87400000000	0,00000000000	36,75900000000	18,57700000000	3,55700000000	0,00000000000	0,00000000000	13,43900000000	3,55700000000	87,93103448280	1,72413793103	10,34482758620
Dolní Lhota	95	100,00000000000	95	2	2	5	71	0	7	0	1	2	0	5	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19,43000000000	0,99800000000	56,07300000000	38,47500000000	37,71200000000	52,74500000000	0,00000000000	34,44300000000	18,63600000000	6,32300000000	0,16600000000	0,83200000000	18,13600000000	3,66100000000	79,12087912090	4,76190476190	16,11721611720
Doubravy	60	100,00000000000	60	4	4	9	6	5	12	10	3	2	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14,42000000000	0,97700000000	33,98400000000	39,47600000000	38,05000000000	45,31300000000	1,36700000000	35,74200000000	16,99200000000	6,25000000000	0,19500000000	0,39100000000	12,50000000000	5,27300000000	82,90598290600	2,13675213675	14,95726495730
Drnovice	80	100,00000000000	80	1	5	6	49	2	11	1	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23,19000000000	0,00000000000	63,70400000000	39,97900000000	39,07800000000	48,39500000000	0,24700000000	31,85200000000	19,75300000000	4,44400000000	0,98800000000	0,74100000000	14,07400000000	3,70400000000	84,97109826590	2,89017341040	12,13872832370
Držková	45	100,00000000000	45	0	7	6	13	2	9	0	0	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15,20000000000	2,01100000000	33,33300000000	39,80200000000	39,25300000000	41,66700000000	0,00000000000	35,92000000000	18,96600000000	6,89700000000	0,28700000000	0,57500000000	17,52900000000	5,17200000000	78,12500000000	2,50000000000	19,37500000000
Fryšták	590	98,98000000000	584	19	104	67	155	21	90	32	10	23	21	42	7	1	0	0	0	4	6	0	2	1	1	1	1	0	0	0	1	1	2	2	0	4	0	3	0	1	1	3	19,41000000000	0,27100000000	26,59100000000	40,91300000000	39,51200000000	48,55100000000	0,54200000000	28,70300000000	24,15400000000	10,96700000000	0,54200000000	0,56900000000	16,65300000000	3,49300000000	77,82776349610	6,55526992288	15,61696658100
Halenkovice	199	98,99000000000	197	34	22	11	34	10	35	6	1	1	25	18	4	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	4	0	0	0	0	0	3	13,57000000000	1,25100000000	23,32200000000	39,97500000000	38,80600000000	47,44000000000	0,28400000000	34,92600000000	17,80400000000	5,34700000000	0,62600000000	0,79600000000	14,73300000000	4,83500000000	81,94254445960	1,64158686731	16,41586867310
Haluzice	18	100,00000000000	18	3	7	1	2	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	24,66000000000	0,00000000000	34,14600000000	45,85400000000	43,84800000000	47,56100000000	0,00000000000	43,90200000000	19,51200000000	2,43900000000	0,00000000000	1,22000000000	17,07300000000	3,65900000000	82,35294117650	5,88235294118	11,76470588240
Horní Lhota	97	100,00000000000	97	7	5	17	39	4	14	2	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	2	21,70000000000	1,08700000000	39,13000000000	38,73000000000	37,60000000000	45,65200000000	0,36200000000	33,33300000000	19,56500000000	7,79000000000	0,90600000000	0,90600000000	17,02900000000	5,97800000000	81,40495867770	3,71900826446	14,87603305790
Hostišová	66	98,48000000000	65	1	4	8	21	3	8	1	3	2	9	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	17,10000000000	0,00000000000	38,91300000000	36,41300000000	35,22900000000	45,65200000000	0,87000000000	36,08700000000	18,47800000000	5,65200000000	0,21700000000	0,87000000000	16,95700000000	4,56500000000	85,29411764710	2,94117647059	11,76470588240
Hrobice	68	98,53000000000	67	0	12	2	27	0	11	3	0	0	0	12	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	2	17,44000000000	0,00000000000	34,63100000000	41,86200000000	39,77100000000	43,03300000000	0,41000000000	34,22100000000	16,80300000000	6,35200000000	0,20500000000	0,82000000000	12,91000000000	3,07400000000	84,32432432430	1,62162162162	14,05405405410
Hřivínův Újezd	77	100,00000000000	77	6	11	4	24	0	20	1	2	1	3	5	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16,78000000000	0,37700000000	44,06800000000	41,66800000000	40,01400000000	48,77600000000	0,00000000000	35,97000000000	19,39700000000	6,40300000000	0,94200000000	0,56500000000	12,80600000000	4,89600000000	82,30769230770	2,69230769231	15,00000000000
Hvozdná	179	99,44000000000	178	9	22	23	64	9	20	8	1	9	5	8	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	2	0	0	0	0	18,55000000000	0,84200000000	32,18200000000	39,06800000000	38,09500000000	46,25100000000	0,08400000000	30,75000000000	21,56700000000	9,43600000000	1,43200000000	0,92700000000	14,57500000000	3,87500000000	79,27565392350	6,23742454728	14,48692152920
Jasenná	144	100,00000000000	143	14	19	20	21	3	16	11	5	15	6	13	1	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	18,53000000000	0,32800000000	27,94800000000	40,17700000000	38,42400000000	46,28800000000	0,21800000000	35,26200000000	18,99600000000	7,75100000000	0,65500000000	0,21800000000	16,92100000000	3,49300000000	82,88508557460	4,15647921760	12,95843520780
Jestřabí	35	97,14000000000	34	2	5	3	10	1	3	2	1	3	1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14,11000000000	0,00000000000	51,37900000000	41,13400000000	38,72600000000	51,37900000000	0,00000000000	40,00000000000	16,20700000000	5,86200000000	0,69000000000	0,34500000000	16,55200000000	7,24100000000	72,56637168140	5,30973451327	22,12389380530
Kaňovice	43	100,00000000000	43	7	3	2	13	1	6	0	0	3	2	6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	19,55000000000	0,37900000000	37,87900000000	41,63300000000	38,99600000000	43,93900000000	0,00000000000	32,19700000000	19,69700000000	5,68200000000	0,75800000000	0,75800000000	17,80300000000	4,16700000000	80,18867924530	1,88679245283	17,92452830190
Kašava	163	98,16000000000	160	6	14	19	68	2	19	2	4	6	8	12	1	0	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	22,58000000000	1,12000000000	45,80100000000	39,25100000000	37,99900000000	48,82400000000	0,44800000000	36,28200000000	19,26100000000	6,83100000000	0,67200000000	1,23200000000	16,23700000000	4,36700000000	81,69761273210	3,71352785146	14,58885941640
Loučka	130	97,69000000000	127	3	17	33	40	1	4	6	3	5	3	12	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	4	1	28,95000000000	0,00000000000	58,94700000000	49,82200000000	45,38500000000	37,05300000000	0,21100000000	28,00000000000	19,57900000000	5,47400000000	0,84200000000	0,42100000000	11,78900000000	1,89500000000	80,86419753090	4,32098765432	14,81481481480
Ludkovice	56	100,00000000000	56	3	3	9	11	6	8	0	2	11	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9,74000000000	0,43700000000	36,97200000000	40,10100000000	38,12300000000	47,01600000000	1,31000000000	32,75100000000	17,46700000000	5,82200000000	0,43700000000	0,72800000000	16,73900000000	2,62000000000	84,10596026490	3,64238410596	12,25165562910
Luhačovice	885	99,77000000000	882	75	133	124	155	25	123	66	16	60	50	55	9	0	0	1	0	1	9	0	4	3	3	0	0	3	3	0	0	1	0	3	0	4	0	2	2	1	4	2	20,16000000000	0,56100000000	31,11000000000	43,58400000000	41,03700000000	45,76600000000	0,19300000000	29,40800000000	25,90900000000	11,91000000000	0,75400000000	0,63800000000	14,13400000000	4,37000000000	79,34485896270	5,55050045496	15,10464058230
Lukov	300	97,99000000000	292	15	46	32	83	8	47	19	2	9	9	22	2	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	0	5	0	0	1	0	1	1	20,92000000000	1,20600000000	36,62500000000	45,23100000000	40,46500000000	43,05400000000	0,17200000000	28,07100000000	22,56000000000	11,30900000000	0,57400000000	0,51700000000	16,30300000000	3,55900000000	80,00000000000	5,10638297872	14,89361702130
Lutonina	47	100,00000000000	47	9	5	3	0	0	8	3	1	3	7	8	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	13,43000000000	2,73600000000	28,35800000000	40,27100000000	38,59800000000	44,77600000000	0,24900000000	35,57200000000	21,14400000000	3,73100000000	0,00000000000	1,49300000000	13,68200000000	5,72100000000	79,42857142860	4,57142857143	16,00000000000
Machová	106	97,17000000000	103	8	12	7	31	4	18	1	2	2	5	13	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	4	21,59000000000	0,54200000000	23,64600000000	39,78600000000	38,29900000000	45,66800000000	0,72200000000	34,29600000000	19,85600000000	4,87400000000	0,90300000000	0,36100000000	13,17700000000	3,79100000000	84,97854077250	2,57510729614	12,44635193130
Mysločovice	123	100,00000000000	123	10	10	7	38	7	16	12	1	7	7	8	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	24,95000000000	0,47500000000	34,39000000000	41,03600000000	40,72800000000	45,95900000000	0,47500000000	32,33000000000	18,85900000000	10,93500000000	0,31700000000	0,95100000000	14,26300000000	5,23000000000	81,02189781020	3,64963503650	15,32846715330
Napajedla	885	99,10000000000	876	100	135	63	126	40	168	70	19	39	64	52	6	2	2	0	0	8	6	0	2	0	0	1	0	0	0	0	3	4	0	7	0	8	0	1	0	0	2	0	14,54000000000	0,93800000000	16,69900000000	41,91600000000	40,25800000000	43,56900000000	0,19300000000	31,64500000000	24,08200000000	8,99800000000	0,59300000000	0,53800000000	14,17300000000	4,30600000000	84,98735777500	3,06573957016	11,94690265490
Návojná	90	100,00000000000	90	6	15	3	49	1	3	3	1	0	2	7	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	15,63000000000	0,27200000000	70,43600000000	40,32000000000	39,41100000000	43,59700000000	1,49900000000	32,97000000000	16,48500000000	5,17700000000	0,27200000000	0,81700000000	17,43900000000	6,13100000000	80,53097345130	0,00000000000	19,46902654870
Nedašov	122	97,54000000000	119	0	19	4	68	3	2	4	1	1	4	13	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	1	0	2	0	1	0	11,25000000000	0,00000000000	69,09200000000	38,48200000000	37,18500000000	44,16400000000	0,57600000000	35,08600000000	17,50700000000	3,02600000000	0,50400000000	0,72000000000	18,73200000000	6,41200000000	74,02061855670	1,23711340206	24,74226804120
Nedašova Lhota	93	98,91000000000	91	1	8	1	65	1	6	4	1	0	0	4	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17,10000000000	0,41700000000	65,69400000000	36,97400000000	34,70900000000	43,47200000000	0,97200000000	33,19400000000	15,27800000000	2,91700000000	0,27800000000	1,94400000000	22,50000000000	7,91700000000	66,66666666670	1,31578947368	32,01754385960
Neubuz	50	100,00000000000	50	6	6	4	11	4	14	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13,40000000000	0,89300000000	35,71400000000	38,69400000000	37,14100000000	44,42000000000	0,00000000000	37,72300000000	19,19600000000	5,58000000000	0,67000000000	0,67000000000	16,96400000000	3,34800000000	77,14285714290	6,19047619048	16,66666666670
Otrokovice	2233	99,10000000000	2213	212	456	183	318	98	384	108	58	121	108	167	12	2	3	9	0	10	11	1	4	7	2	4	7	1	2	0	13	10	1	13	0	30	1	3	2	0	8	11	14,87000000000	0,83400000000	15,63500000000	41,73200000000	39,86500000000	42,28300000000	0,30500000000	30,94400000000	23,78600000000	9,05500000000	0,73100000000	0,68700000000	13,01900000000	4,97200000000	88,02510245900	2,45901639344	9,51588114754
Podkopná Lhota	64	96,88000000000	62	12	7	0	23	1	9	3	0	0	3	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	23,27000000000	3,27900000000	46,23000000000	43,80500000000	41,37300000000	46,23000000000	0,65600000000	36,06600000000	20,32800000000	2,95100000000	0,65600000000	0,98400000000	11,14800000000	5,57400000000	73,55371900830	3,30578512397	23,14049586780
Provodov	134	98,51000000000	132	6	4	12	65	10	9	0	0	11	8	7	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	20,81000000000	0,78100000000	48,56800000000	42,01600000000	41,75900000000	47,78600000000	0,39100000000	34,11500000000	18,35900000000	5,46900000000	0,65100000000	0,39100000000	15,62500000000	3,38500000000	80,25477707010	3,82165605096	15,92356687900
Racková	93	98,92000000000	92	2	6	14	27	4	19	1	4	3	10	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14,62000000000	0,51000000000	33,37600000000	38,07500000000	36,40400000000	47,77100000000	0,25500000000	28,53500000000	19,10800000000	9,29900000000	0,38200000000	0,76400000000	17,07000000000	5,22300000000	77,28613569320	3,83480825959	18,87905604720
Sazovice	114	99,12000000000	113	4	3	12	57	4	16	2	0	0	9	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	19,90000000000	0,70600000000	36,44100000000	38,14400000000	37,25700000000	47,59900000000	0,42400000000	31,63800000000	18,50300000000	8,75700000000	0,70600000000	0,28200000000	18,78500000000	2,96600000000	79,93827160490	6,17283950617	13,88888888890
Sehradice	94	100,00000000000	94	0	14	8	47	6	10	0	0	0	5	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	15,69000000000	0,28400000000	49,64500000000	41,70100000000	40,41000000000	48,93600000000	0,28400000000	35,46100000000	16,45400000000	6,66700000000	1,13500000000	0,99300000000	15,74500000000	4,11300000000	82,21476510070	4,36241610738	13,42281879190
Slavičín	841	99,52000000000	837	95	144	56	216	24	102	33	39	36	25	67	7	0	1	2	1	8	6	0	2	1	2	1	0	0	0	0	4	7	0	5	0	13	0	2	0	0	2	3	15,01000000000	0,16600000000	34,38200000000	41,88800000000	40,12800000000	47,46600000000	0,25700000000	30,54000000000	24,44400000000	10,30100000000	0,95300000000	0,69600000000	15,08100000000	4,40200000000	83,96564065860	4,36649964209	11,66785969940
