nazev	obalky,N,9,0	platne_hla,N,19,11	platne_hlasy	KSCM,N,9,0	CSSD,N,9,0	Koal_TOP09,N,9,0	KDU_CSL,N,9,0	Pirati,N,9,0	ANO_2011,N,9,0	ODS,N,9,0	SZ,N,9,0	Svobodni,N,9,0	Usvit,N,9,0	Ostatni	M,N,9,0	VIZE,N,9,0	CSR,N,9,0	Koal__SP_a,N,9,0	RDS,N,9,0	KSC,N,9,0	PB,N,9,0	ABS,N,9,0	Koal_DSSS_,N,9,0	KAN,N,9,0	HSS,N,9,0	Republika,N,9,0	CS,N,9,0	KC,N,9,0	ANEO,N,9,0	CSNS,N,9,0	O_K_strana,N,9,0	VV,N,9,0	OBC_2011,N,9,0	ND,N,9,0	SRP,N,9,0	Rozumni,N,9,0	HNPD,N,9,0	LES,N,9,0	RSCMS,N,9,0	evropani,N,9,0	SNK_ED,N,9,0	LEV_21,N,9,0	ucast_prc,N,19,11	mimo_byty_,N,19,11	verici_prc,N,19,11	vek_prumer,N,19,11	vek_prum_1,N,19,11	vdani_prc,N,19,11	vzdelani_z,N,19,11	vzdelani_s,N,19,11	vzdelani_m,N,19,11	vzdelani_v,N,19,11	prace_stud,N,19,11	nezamestna,N,19,11	studenti_p,N,19,11	mira_nez_1,N,19,11	zamestna_1,N,19,11	podnikatel,N,19,11	osvc_prc,N,19,11
Kařez	70	100,00000000000	70	6	7	21	5	3	10	3	2	5	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	14,29000000000	1,52300000000	7,27600000000	41,23100000000	39,14100000000	45,51600000000	0,50800000000	31,98000000000	20,98100000000	4,23000000000	0,16900000000	0,50800000000	13,19800000000	3,55300000000	84,48979591840	1,63265306122	13,87755102040
Klabava	67	98,51000000000	66	5	8	22	1	3	13	3	4	2	0	5	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	17,49000000000	3,43200000000	5,26300000000	44,52700000000	43,67700000000	47,14000000000	0,22900000000	35,24000000000	23,11200000000	12,35700000000	0,00000000000	0,22900000000	9,84000000000	3,20400000000	83,41968911920	4,66321243523	11,91709844560
Kladruby	23	100,00000000000	23	5	1	2	3	0	6	0	0	2	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15,97000000000	4,76200000000	11,56500000000	42,41800000000	43,65000000000	52,38100000000	0,00000000000	40,81600000000	22,44900000000	5,44200000000	0,00000000000	1,36100000000	10,88400000000	5,44200000000	88,00000000000	2,66666666667	9,33333333333
Lhotka u Radnic	18	100,00000000000	18	2	5	2	0	1	3	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	30,51000000000	2,98500000000	4,47800000000	43,56000000000	40,21400000000	50,74600000000	0,00000000000	44,77600000000	13,43300000000	8,95500000000	1,49300000000	1,49300000000	8,95500000000	5,97000000000	93,54838709680	0,00000000000	6,45161290323
Liblín	51	100,00000000000	51	7	5	5	2	1	3	3	6	0	1	18	0	0	1	0	0	0	1	0	1	2	2	0	0	0	1	0	0	3	4	0	0	2	0	0	0	0	0	1	19,92000000000	0,00000000000	6,99300000000	56,36400000000	51,98600000000	24,82500000000	4,54500000000	34,96500000000	14,33600000000	1,39900000000	0,35000000000	1,04900000000	3,49700000000	1,39900000000	96,15384615380	0,00000000000	3,84615384615
Líšná	40	100,00000000000	40	4	6	9	3	1	4	4	4	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	28,99000000000	3,70400000000	5,55600000000	39,77200000000	38,32100000000	41,97500000000	0,00000000000	41,35800000000	17,28400000000	5,55600000000	0,00000000000	0,00000000000	12,34600000000	5,55600000000	74,64788732390	4,22535211268	21,12676056340
Mirošov	273	97,44000000000	266	58	52	46	18	15	25	17	2	5	3	25	0	2	0	1	0	4	1	1	1	2	0	0	0	0	1	0	0	2	1	0	0	4	0	1	2	0	0	2	15,02000000000	1,83500000000	6,06100000000	47,99800000000	43,70800000000	38,83900000000	0,85400000000	32,39400000000	21,12700000000	5,54800000000	0,34100000000	0,21300000000	11,95000000000	2,34700000000	86,44646924830	2,27790432802	11,27562642370
Mlečice	69	100,00000000000	69	7	12	8	1	5	11	17	0	1	2	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	27,27000000000	1,76700000000	8,12700000000	43,80900000000	42,36400000000	49,11700000000	0,00000000000	39,22300000000	21,90800000000	3,88700000000	0,00000000000	0,35300000000	8,48100000000	6,71400000000	93,98496240600	0,00000000000	6,01503759398
Mýto	188	98,94000000000	186	23	22	41	3	10	31	27	5	7	4	13	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	1	2	1	15,46000000000	2,12500000000	8,43300000000	41,95700000000	41,07300000000	44,35600000000	0,00000000000	36,12200000000	23,50600000000	5,77700000000	0,73000000000	0,33200000000	12,48300000000	2,98800000000	82,83464566930	3,14960629921	14,01574803150
Osek	164	99,39000000000	163	32	8	34	8	7	28	9	5	9	4	19	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	2	0	4	0	4	0	1	0	0	2	1	16,58000000000	0,23100000000	7,33000000000	39,10900000000	37,58300000000	47,45400000000	0,23100000000	32,02200000000	21,68200000000	8,10200000000	0,61700000000	0,15400000000	13,81200000000	2,23800000000	83,81112984820	4,21585160202	11,97301854970
