KSCM	CSSD	TOP	KDU	Pirati	ANO	ODS	SZ	Svob	Usvit	Ostatni	Nevolici	mimo_byty	verici	vek_prumer	vdani	vzdelani_zakladni	vzdelani_stredni	vzdelani_maturita	vzdelani_vysoka	prac_studenti	nikdy_nezamestnani	studenti	nezamestnani	zamestnani	podnikatele	osvc
8	8	24	5	2	18	7	0	5	3	5	482	0.167	8.167	41.166	48	0.5	34	15.667	6.333	0.5	0.5	13.333	4.167	80.176	3.084	16.740
2	2	4	1	2	3	0	1	0	3	1	48	1.961	31.373	46.618	47.059	0	41.176	21.569	5.882	0	0	13.725	0	81.818	0.000	18.182
5	12	2	1	0	5	0	0	0	0	6	165	0	10.638	41.282	40.426	0	38.298	14.362	2.66	0	1.596	15.426	4.255	86.364	1.515	12.121
13	9	16	4	0	15	2	2	0	2	7	415	1.156	11.561	42.997	43.545	0.963	36.802	19.075	3.083	0.771	0	14.066	5.395	80.597	4.478	14.925
1	10	12	1	3	8	9	1	1	0	2	201	0	9.5	48.224	47.5	0.5	33	17.5	7	0.5	0	11.5	3.5	74.242	4.545	21.212
8	2	13	0	1	4	5	0	0	1	6	174	0	8.095	41.933	43.81	0	38.095	19.048	7.619	0	0.952	13.333	4.762	87.209	1.163	11.628
10	16	5	2	3	11	7	1	4	6	8	449	0.55	6.789	41.076	43.853	0.367	36.33	21.835	4.22	0.734	0.917	15.229	5.138	86.449	2.336	11.215
4	12	93	7	2	19	9	1	1	0	2	693	0.116	13.605	40.079	40.465	0.349	31.628	20.116	6.047	0.349	1.163	14.767	7.558	77.000	4.000	19.000
0	1	5	0	2	8	1	0	1	1	1	47	0	37.255	49.382	45.098	0	29.412	33.333	11.765	0	0	13.725	0	68.182	13.636	18.182
0	1	1	8	0	2	1	0	2	0	0	68	6.849	31.507	43.432	42.466	0	36.986	24.658	5.479	0	0	15.068	5.479	80.556	0.000	19.444
17	13	23	3	10	28	10	2	0	2	10	617	0.402	8.969	40.909	47.791	0.134	32.798	25.301	6.426	0.937	0.402	14.458	3.614	81.065	4.734	14.201
4	4	2	1	1	11	2	0	4	3	5	208	1.606	9.237	44.141	46.185	0	42.169	20.884	1.606	0.803	0.402	10.843	4.819	75.000	2.679	22.321
8	8	21	0	3	20	25	2	4	2	7	442	8.797	7.361	41.939	41.113	0	27.648	24.057	12.208	0.18	0.359	12.926	5.386	78.222	4.444	17.333
1	1	0	1	4	12	0	1	1	0	1	65	0	23.077	42.335	61.538	0	32.967	20.879	8.791	0	0	14.286	1.099	64.103	7.692	28.205
1	5	3	1	0	3	2	0	0	4	1	52	0	26.316	42.167	42.105	1.754	31.579	21.053	1.754	0	0	17.544	0	83.333	5.556	11.111
5	2	3	6	7	13	2	1	3	3	5	215	2.734	23.047	38.332	50.391	0.391	35.938	22.656	5.469	0	0.391	19.141	1.953	87.121	3.788	9.091
